Year,Most Liters Country,Most Liters Quantity (Kg),Most Liters Value ($),ML Percentage of total (%),Most Profit Country,Most Profit Quantity (Kg),Most Profit Value ($),MP Percentage of total (%),Total Exporters,Total Value ($)
2008,Rússia,6207658,2352768,0.33,Rússia,6207658,2352768,0.33,41,7118100
2009,Rússia,21912914,5732280,0.64,Rússia,21912914,5732280,0.64,39,8940988
2010,Paraguai,510989,449197,0.17,Estados Unidos,228968,478630,0.18,33,2595303
2011,Estados Unidos,306787,1030254,0.28,Estados Unidos,306787,1030254,0.28,41,3615120
2012,Rússia,4528176,2103968,0.38,Rússia,4528176,2103968,0.38,40,5521293
2013,Rússia,5893291,14795694,0.65,Rússia,5893291,14795694,0.65,36,22744845
2014,Paraguai,521847,908028,0.12,Reino Unido,305807,1373747,0.18,38,7472795
2015,Paraguai,495428,741370,0.27,Paraguai,495428,741370,0.27,30,2769160
2016,Paraguai,985739,1655417,0.37,Paraguai,985739,1655417,0.37,33,4434704
2017,Paraguai,2393468,4274650,0.6,Paraguai,2393468,4274650,0.6,34,7135607
2018,Paraguai,3234168,5494321,0.73,Paraguai,3234168,5494321,0.73,56,7486063
2019,Paraguai,2419537,3826587,0.64,Paraguai,2419537,3826587,0.64,64,5934826
2020,Paraguai,3299013,3869243,0.64,Paraguai,3299013,3869243,0.64,71,6078288
2021,Paraguai,6522527,7192362,0.73,Paraguai,6522527,7192362,0.73,74,9851942
2022,Paraguai,5076670,7156293,0.65,Paraguai,5076670,7156293,0.65,76,10945282
